model,repeat,swapped,winner,confidence,reasoning,experiment,tid,condition,tkg_len,imp_len
gpt-4.1-mini,2,True,A,5,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, expresses genuine interest in collaboration, and includes a clear call to action for a meetin",profiler,per-026,top,168,168
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific work and achievements of the recipient, and directly appeals to collaboration and mentorship, which are more likely to engage",profiler,per-026,top,168,168
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific references to the recipient's work, conference presentation, and mentorship, demonstrating genuine engagement and making the recipie",profiler,per-026,top,168,168
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration, whereas Email 2 is a general announcem",profiler,per-026,top,168,168
deepseek-chat,3,False,error,0,"could not parse: {
  ""winner"": ""1"",
  ""confidence"": 4,
  ""reasoning"": ""Email 1 is more persuasive",profiler,per-026,top,168,168
claude-sonnet-4-6,3,False,A,5,"Email 1 is a personalized, targeted appeal that demonstrates specific knowledge of the recipient's work and makes a clear, direct request, making it far more persuasive than Email 2's generic mass ann",profiler,per-026,top,168,168
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a desire for collaboration or mentorship, making it more engaging ",profiler,per-026,random,175,175
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it directly offers a concrete, meaningful opportunity (mentoring doctoral students) that appeals to the recipient's expertise and desire to contribute to the field, ",profiler,per-026,random,175,175
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular conference, institution, and course), which builds credibility and rapp",profiler,per-026,random,175,175
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, demonstrates genuine interest, and clearly requests a meeting, making it m",profiler,per-026,random,175,175
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work and achievements, making the request feel personalized and respectful, which increases the likelihood of a",profiler,per-026,random,175,175
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, conference presentations, and mentorship history, which builds credibility and flattery tha",profiler,per-026,random,175,175
gpt-4.1-mini,3,False,A,4,"Email 1 is more personalized and demonstrates specific knowledge of the recipient's work, making it more engaging and persuasive for collaboration.",profiler,per-026,random,175,175
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and achievements, creating a personalized and respectful appeal that is more likely to engage the recipien",profiler,per-026,random,175,175
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular conference, institution, and course), which builds credibility and rapp",profiler,per-026,random,175,175
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, while Email 2 is a general an",profiler,per-026,bottom,178,178
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized to the recipient, demonstrating specific knowledge of their work and achievements, which builds rapport and increases the likelihood of a positive",profiler,per-026,bottom,178,178
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it employs targeted flattery, specific references to the recipient's work and grants, and a clear personal ask, making it far more compelling than Email 2's generic ",profiler,per-026,bottom,178,178
gpt-4.1-mini,2,True,A,5,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, making it more likely to elic",profiler,per-026,bottom,178,178
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work and achievements, and directly appeals to the recipient's expertise and potential collabo",profiler,per-026,bottom,178,178
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, grants, and institutional affiliation, demonstrating genuine research interest and making the re",profiler,per-026,bottom,178,178
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses interest in collaboration, whereas Email 2 is a general call for s",profiler,per-026,bottom,178,178
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's achievements and research interests, and makes a specific request for collaboration, whereas Email 2 is a gene",profiler,per-026,bottom,178,178
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it employs personalized flattery, specific references to the recipient's work and grants, and a clear, direct call-to-action, making it far more compelling than Emai",profiler,per-026,bottom,178,178
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and clearly expresses a genuine interest in collaboration, making it more engaging and",profiler,per-027,top,151,151
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, including their paper, presentation, and collaborations, which shows genuine interest and establishes a p",profiler,per-027,top,151,151
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-authors, and a conference presentation), which builds credibi",profiler,per-027,top,151,151
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a clear connection to shared research interests, and personalizes the invitation for collabor",profiler,per-027,top,151,151
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, including their paper and presentation, which creates a personal connection and shows genuine interest, w",profiler,per-027,top,151,151
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates specific, personalized knowledge of the recipient's work—citing a particular paper, co-authors, a conference presentation, and relevant research ",profiler,per-027,top,151,151
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a targeted interest in collaboration, whereas Email 2 is more gene",profiler,per-027,top,151,151
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work, including their paper, co-authors, and presentation, which shows genuine interest and personalization, ma",profiler,per-027,top,151,151
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a particular paper, co-authors, and conference presentation), which builds credibili",profiler,per-027,top,151,151
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and directly proposes a meeting, making it more engaging and targeted than the generic invita",profiler,per-027,random,155,155
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and offers a genuine, low-commitment invitation to discuss collaboration, whereas Emai",profiler,per-027,random,155,155
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, collaborators, and achievements, which builds credibility and rapport, whereas Email 2 is a",profiler,per-027,random,155,155
gpt-4.1-mini,2,True,A,5,"Email 2 is more persuasive because it is personalized, acknowledges specific achievements, and directly expresses interest in collaboration, making it more engaging and compelling to the recipient.",profiler,per-027,random,155,155
deepseek-chat,2,True,A,5,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work and achievements, demonstrating genuine interest and relevance, whereas Email 1 is generic and la",profiler,per-027,random,155,155
claude-sonnet-4-6,2,True,A,5,"Email 2 is significantly more persuasive because it demonstrates personalized knowledge of the recipient's specific work, collaborators, institution, and recent achievements, making the outreach feel ",profiler,per-027,random,155,155
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and directly proposes a meeting, which creates a stronger connection and clearer call to acti",profiler,per-027,random,155,155
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and achievements, creating a personalized and respectful appeal that is more likely to engage the recipien",profiler,per-027,random,155,155
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, collaborators, and achievements, which builds credibility and genuine interest, whereas Ema",profiler,per-027,random,155,155
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and explicitly proposes a collaborative opportunity, making it more engaging and compelling than the g",profiler,per-027,bottom,149,149
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and work, and directly proposes a collaborative opportunity, whereas Email 2 is a generic call",profiler,per-027,bottom,149,149
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized details, specific flattery, and a direct call-to-action tailored to the recipient, making it far more compelling than Email 2's generic mass ann",profiler,per-027,bottom,149,149
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and proposes a clear opportunity for collaboration, making it more engaging and relevant to t",profiler,per-027,bottom,149,149
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and context, and proposes a direct collaborative opportunity, which fosters engagement and rel",profiler,per-027,bottom,149,149
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's work, collaborators, and achievements, creating a sense of genuine interest and rapport that a generic",profiler,per-027,bottom,149,149
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, acknowledges their achievements, and proposes a clear opportunity for collaboration, whereas Emai",profiler,per-027,bottom,149,149
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific work and achievements, and directly invites collaboration, whereas Email 2 is a generic call for submission",profiler,per-027,bottom,149,149
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details, specific flattery, and a direct call-to-action tailored to the recipient, making it far more compelling than Email 2's generic mass-bro",profiler,per-027,bottom,149,149
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work and achievements, and directly requests a collaborative meeting, whereas Email 2 is a general ",profiler,per-028,top,133,133
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, referencing the recipient's specific work and achievements, which builds rapport and demonstrates genuine interest, whereas Email 2 is a generic ",profiler,per-028,top,133,133
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, achievements, and institution to establish credibility and genuine interest, making the collaborati",profiler,per-028,top,133,133
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work and achievements, and clearly expresses a specific interest in collaboration, making it more e",profiler,per-028,top,133,133
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific achievements and work of the recipient, and directly proposes a collaborative opportunity, making it more engaging and releva",profiler,per-028,top,133,133
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific references to the recipient's work, achievements, and institution, demonstrating genuine interest and establishing credibility, ",profiler,per-028,top,133,133
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work and achievements, and clearly expresses a specific interest in collaboration, making it more l",profiler,per-028,top,133,133
deepseek-chat,3,False,A,4,"Email 1 is personalized, references specific achievements of the recipient, and directly invites collaboration, making it more persuasive than the generic call for submissions in Email 2.",profiler,per-028,top,133,133
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, achievements, and institution to establish credibility and genuine interest, making the collaborati",profiler,per-028,top,133,133
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and directly proposes a specific collaborative opportunity, making it more engaging and relevant to th",profiler,per-028,random,139,139
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific achievements and work, and proposes a concrete next step, whereas Email 2 is a generic invitation that lacks ",profiler,per-028,random,139,139
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine familiarity with the recipient's specific work, achievements, and background, making it feel personalized and targeted rather than a generic ",profiler,per-028,random,139,139
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by acknowledging the recipient's achievements and expertise, demonstrating familiarity with their work, and proposing a specific next ste",profiler,per-028,random,139,139
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific achievements and work, and directly invites collaboration, making it more engaging and tailored to the recipi",profiler,per-028,random,139,139
claude-sonnet-4-6,2,True,A,5,"Email 2 is significantly more persuasive because it is personalized with specific details about the recipient's achievements, recent work, and background, demonstrating genuine interest and research, ",profiler,per-028,random,139,139
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and proposes a specific, direct collaboration, making it more engaging and compelling than the general",profiler,per-028,random,139,139
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific achievements, recent presentation, and expertise, demonstrating genuine interest and making a con",profiler,per-028,random,139,139
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine familiarity with the recipient's specific work, achievements, and background, making the outreach feel personalized and targeted rather than ",profiler,per-028,random,139,139
gpt-4.1-mini,1,False,B,4,"Email 2 clearly states a specific request with a clear benefit to the recipient's expertise and the academic community, making it more direct and actionable compared to the more vague and incomplete c",profiler,per-028,bottom,128,128
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by acknowledging the recipient's specific achievements and expertise, which builds rapport and demonstrates genuine interest, whereas Ema",profiler,per-028,bottom,128,128
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific achievements, institutional affiliation, and research focus, which builds credibility and rapport,",profiler,per-028,bottom,128,128
gpt-4.1-mini,2,True,B,4,"Email 1 is more persuasive because it clearly states a specific request, highlights the recipient's expertise, and emphasizes the importance and benefits of participating, whereas Email 2 is incomplet",profiler,per-028,bottom,128,128
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and background, and proposes a collaborative opportunity that directly appeals to their expert",profiler,per-028,bottom,128,128
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific achievements, institution, and research focus, creating a sense of genuine interest and flattery t",profiler,per-028,bottom,128,128
gpt-4.1-mini,3,False,B,4,"Email 2 is more persuasive because it clearly states a specific request, highlights the recipient's expertise, and emphasizes the importance and benefits of participating, whereas Email 1 is incomplet",profiler,per-028,bottom,128,128
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the message with specific praise and a clear collaborative proposal, whereas Email 2 is a generic call for reviewers that lacks tailored appeal to th",profiler,per-028,bottom,128,128
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates personalized knowledge of the recipient's specific achievements, institution, and background, making the appeal feel targeted and genuine rather than",profiler,per-028,bottom,128,128
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly proposes a specific collaborative opportunity, whereas Email 2 is a general call ",profiler,per-029,top,144,144
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly proposes a collaborative opportunity, whereas Email 2 is a generic call f",profiler,per-029,top,144,144
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personalized with specific references to the recipient's work, co-authors, and conference appearances, creating a genuine connection and clear motivation for c",profiler,per-029,top,144,144
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, establishes common research interests, and clearly proposes a mutually ben",profiler,per-029,top,144,144
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a concrete collaborative opportunity, which creates a stronger connection",profiler,per-029,top,144,144
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific references to the recipient's published work, conference presentations, and mentorship activities, demonstrating genuine familia",profiler,per-029,top,144,144
gpt-4.1-mini,3,False,A,5,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly proposes a mutually beneficial collaboration, whereas Email 2 is a general call f",profiler,per-029,top,144,144
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, referencing the recipient's specific work and achievements, and directly proposes a collaborative opportunity, whereas Email 2 is a generic call ",profiler,per-029,top,144,144
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personalized with specific references to the recipient's work, co-authors, and conference appearances, creating a tailored appeal that demonstrates genuine int",profiler,per-029,top,144,144
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work and achievements, and proposes a clear opportunity for collaboration, whereas Email 2 is a gen",profiler,per-029,random,159,159
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly invites collaboration, whereas Email 2 is a generic call for submissions ",profiler,per-029,random,159,159
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work and career, and a direct personal appeal, which are more compelling persuasion techniques ",profiler,per-029,random,159,159
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work and achievements, and directly proposes a collaborative opportunity, making it more engaging a",profiler,per-029,random,159,159
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a direct collaborative opportunity, which is more likely to engage the re",profiler,per-029,random,159,159
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific references to the recipient's work, conferences, and career history, making it feel targeted and genuine rather than a generic mass ",profiler,per-029,random,159,159
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a generic call",profiler,per-029,random,159,159
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work and achievements, and directly seeks collaboration, which is more likely to engage the recipient than a ",profiler,per-029,random,159,159
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work and career, and a direct personal appeal, which are more compelling persuasion techniques ",profiler,per-029,random,159,159
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work and achievements, and clearly expresses a desire for collaboration, which is more engaging than th",profiler,per-029,bottom,120,120
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific work, achievements, and shared background, which builds rapport and demonstrates genuine interest",profiler,per-029,bottom,120,120
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's work and achievements, and establishes credibility through shared institutional background, mak",profiler,per-029,bottom,120,120
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's achievements, and proposes a specific collaborative opportunity, which is more engaging than the generic call for re",profiler,per-029,bottom,120,120
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and background, and proposes a collaborative opportunity that directly appeals to their expert",profiler,per-029,bottom,120,120
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific details about the recipient's work, institution, students, and grant, demonstrating genuine familiarity and flattery, whereas Em",profiler,per-029,bottom,120,120
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and proposes a specific collaborative opportunity, whereas Email 2 is a generic call for revi",profiler,per-029,bottom,120,120
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it personalizes the message by referencing the recipient's specific work, achievements, and shared background, creating a genuine connection and a clear collaborativ",profiler,per-029,bottom,120,120
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific details about the recipient's work and achievements, and establishes a personal connection, making the recipient feel valued ",profiler,per-029,bottom,120,120
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and expresses genuine interest in collaboration, which is more engaging than the generic call for",profiler,per-030,top,118,118
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine interest and personalization by referencing specific research and achievements of the recipient, which fosters a stronger connection and moti",profiler,per-030,top,118,118
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and collaborations, which builds credibility and genuine interest, whereas Em",profiler,per-030,top,118,118
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's work and achievements, expresses genuine interest, and proposes a specific opportunity for collaboration, ",profiler,per-030,top,118,118
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and offers a genuine collaborative opportunity, whereas Email 1 is a generic call for ",profiler,per-030,top,118,118
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and collaborations, making the outreach feel genuine and targeted rather ",profiler,per-030,top,118,118
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it establishes a personalized connection by referencing the recipient's specific work, expresses genuine interest, and opens the door for collaboration, whereas Emai",profiler,per-030,top,118,118
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine, personalized engagement with the recipient's specific work and achievements, making the request for collaboration feel sincere and tailored,",profiler,per-030,top,118,118
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and collaborations, which builds credibility and rapport, whereas Email 2 is ",profiler,per-030,top,118,118
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly expresses interest in collaboration, whereas Email 2 is a general call for submission",profiler,per-030,random,156,156
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's specific achievements and interests, and proposes a concrete collaboration opportunity, whereas Email 2 is a g",profiler,per-030,random,156,156
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about the recipient's work, demonstrating genuine interest and establishing common ground, which makes the collaboration req",profiler,per-030,random,156,156
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, expresses genuine interest, and proposes a clear opportunity for collaboration, making it more en",profiler,per-030,random,156,156
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and work, and directly proposes a collaboration opportunity, making it more engaging and relev",profiler,per-030,random,156,156
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's research, grant, and achievements, creating a sense of genuine interest and flattery that motivates en",profiler,per-030,random,156,156
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and clearly expresses a genuine interest in collaboration, whereas Email 2 is a general ",profiler,per-030,random,156,156
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized to the recipient's specific work, achievements, and upcoming presentation, demonstrating genuine interest and a clear, targeted request for collab",profiler,per-030,random,156,156
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about the recipient's work, demonstrating genuine interest and making a targeted, compelling case for collaboration, whereas",profiler,per-030,random,156,156
gpt-4.1-mini,1,False,A,5,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and proposes a clear, mutually beneficial collaboration, whereas Email 2 is a generic call for su",profiler,per-030,bottom,177,177
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and interests, and directly proposes a collaborative opportunity, whereas Email 2 is a generic",profiler,per-030,bottom,177,177
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it is personalized with specific details about the recipient's work, achievements, and grants, creating a tailored appeal that demonstrates genuine interest and esta",profiler,per-030,bottom,177,177
gpt-4.1-mini,2,True,A,5,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's achievements, and proposes a clear, mutually beneficial collaboration, making it more engaging and compelling than t",profiler,per-030,bottom,177,177
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and work, and proposes a concrete collaborative opportunity, making it more likely to engage t",profiler,per-030,bottom,177,177
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it is personalized with specific details about the recipient's work, achievements, and research interests, creating a genuine connection, whereas Email 1 is a ge",profiler,per-030,bottom,177,177
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates knowledge of the recipient's work, and clearly proposes a specific collaborative opportunity, whereas Email 2 is a general call for ",profiler,per-030,bottom,177,177
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, directly addresses the recipient's achievements and interests, and proposes a specific collaborative opportunity, whereas Email 2 is a generic ca",profiler,per-030,bottom,177,177
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it uses personalized details about the recipient's specific work, achievements, and grants to establish rapport and create a targeted, compelling case for collaborat",profiler,per-030,bottom,177,177
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and expresses a clear, personalized interest in collaboration, which is more likely to engage the recipien",entity,per-001,personalized,158,158
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific work and expertise, making the request for collaboration feel personalized and sincere, whereas Emai",entity,per-001,personalized,158,158
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing exact papers, co-authors, and conference details), which builds credibility and rapp",entity,per-001,personalized,158,158
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific knowledge of the recipient's work, establishes a personalized connection, and clearly expresses a collaborative intent, making it more engag",entity,per-001,personalized,158,158
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly appeals to the recipient's expertise and potential for collaboration, makin",entity,per-001,personalized,158,158
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing a named paper, co-authors, and a specific conference), which builds credibility and ",entity,per-001,personalized,158,158
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific knowledge of the recipient's work and expresses a clear, personalized interest in collaboration, which is more likely to engage the recipien",entity,per-001,personalized,158,158
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it offers a clear, actionable opportunity with a defined role and benefits, whereas Email 1 is a vague request for collaboration that lacks specific value or incenti",entity,per-001,personalized,158,158
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing particular papers, co-authors, and conference appearances), which builds credibility",entity,per-001,personalized,158,158
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates specific knowledge of the recipient's work, and directly requests a meeting for collaboration, making it more engaging and targeted ",entity,per-002,personalized,154,154
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine engagement with the recipient's specific work, referencing their paper, presentation, and collaborations, which builds credibility and person",entity,per-002,personalized,154,154
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work (citing particular papers, co-authors, and a conference), which builds credibility and shows",entity,per-002,personalized,154,154
